rank,symbol,date,close,dma_200,distance_to_200dma_pct,dma_50,rsi_14,volume_ratio,break_below_date,breakdown_low,recovery_from_breakdown_low_pct,score,setup,recovery_candidate,reasons,high_52w,distance_to_52w_high_pct,high_2y,distance_to_2y_high_pct,high_level_score,high_level_setup,high_level_candidate,high_level_reasons,combined_setup,pe_ratio,pb_ratio,eps,dividend_yield,market_cap,roe,roce,operating_margin,net_profit_margin,debt_to_equity,current_ratio,quick_ratio,interest_coverage,revenue_growth,eps_growth,profit_growth,fundamental_score
437,IREDA,2026-08-14,116.25,129.66,-10.34,122.98,33.56,0.67,,,,0,NOT A RECOVERY,False,,163.35,-28.83,265.8,-56.26,0,NORMAL,False,,NONE,16.536272,2.368968,7.03,103.0,326573129728.0,,,85.359,45.951,565.671,89.346,89.346,,23.7,33.0,33.0,83
438,WAAREEENER,2026-08-14,2682.0,2990.08,-10.3,2852.1,41.84,0.41,,,,0,NOT A RECOVERY,False,,3865.0,-30.61,3865.0,-30.61,0,NORMAL,False,,NONE,20.243036,5.3405232,132.49,15.0,771480879104.0,,,13.994001,12.703000000000001,21.402,,,,79.2,14.2,14.2,62
439,EIHOTEL,2026-08-14,300.35,334.11,-10.1,320.96,33.4,0.74,,,,0,NOT A RECOVERY,False,,434.8,-30.92,441.75,-32.01,0,NORMAL,False,,NONE,26.392796,3.5693488,11.38,50.0,187828125696.0,,,19.716998999999998,23.142,4.666,,,,14.499999999999998,246.3,246.3,68
440,HINDPETRO,2026-08-14,373.5,415.01,-10.0,393.62,36.55,1.1,,,,0,NOT A RECOVERY,False,,508.45,-26.54,508.45,-26.54,0,NORMAL,False,,NONE,50.0,1.212501,7.47,649.0,794741702656.0,,,-12.848,0.356,85.369,,,,26.900000000000002,,,45
441,BAYERCROP,2026-08-14,4045.8,4482.54,-9.74,4205.91,35.16,0.58,,,,0,NOT A RECOVERY,False,,5735.0,-29.45,6919.6,-41.53,0,NORMAL,False,,NONE,25.062258,6.130985,161.43,367.0,181826715648.0,,,17.302,13.084000000000001,2.758,,,,-4.2,15.4,15.4,42
442,SJVN,2026-08-14,67.21,74.31,-9.55,70.46,34.81,0.71,,,,0,NOT A RECOVERY,False,,101.45,-33.75,148.84,-54.84,0,NORMAL,False,,NONE,38.1875,1.8562708,1.76,223.0,264121516032.0,,,45.678999999999995,12.770999999999999,226.528,,,,52.0,-1.7000000000000002,-1.7000000000000002,42
443,JWL,2026-08-14,256.5,283.46,-9.51,261.88,47.29,0.38,,,,0,NOT A RECOVERY,False,,372.85,-31.21,588.0,-56.38,0,NORMAL,False,,NONE,64.125,3.705309,4.0,69.0,109620510720.0,5.768,,8.394,5.868,33.365,2.0,1.04,,-25.3,-72.5,-72.5,20
444,NCC,2026-08-14,140.65,155.35,-9.47,146.06,43.62,0.86,,,,0,NOT A RECOVERY,False,,225.09,-37.51,330.8,-57.48,0,NORMAL,False,,NONE,12.614349,1.1222193,11.15,156.0,88306622464.0,,,8.1870005,3.261,57.389,,,,12.2,12.7,12.7,56
445,DCMSHRIRAM,2026-08-14,1024.7,1129.88,-9.31,1028.69,49.95,0.39,,,,0,NOT A RECOVERY,False,,1414.4,-27.55,1502.3,-31.79,0,NORMAL,False,,NONE,11.147737,2.1238449,91.92,142.0,158679728128.0,,,5.840999999999999,10.3520006,37.802,,,,9.3,511.00000000000006,511.00000000000006,62
446,IOC,2026-08-14,139.4,153.4,-9.13,141.22,45.26,0.99,,,,0,NOT A RECOVERY,False,,188.96,-26.23,188.96,-26.23,0,NORMAL,False,,NONE,5.703764,0.8744088,24.44,592.0,,,,-0.13,3.92,58.446,,,,38.5,,,60
